"","Duration","Proto","SrcPt","DstPt","Packets","Bytes","Flags","Tos","class","Packets_speed","Bytes_speed","Hour","Min","Sec"
"1",0,6,33877,443,1,66,16,0,0,10000,660000,36,30,3
"2",0.042,6,80,52335,2,413,26,32,0,47.6190476190476,9833.33333333333,24,54,3
"3",0.215,6,51696,80,8,1350,26,0,0,37.2093023255814,6279.06976744186,28,50,0
"4",0.143,6,37251,443,4,1810,24,0,0,27.972027972028,12657.3426573427,38,32,6
"5",0,6,35641,80,1,66,16,0,0,10000,660000,44,37,8
"6",0,6,51797,80,1,66,16,0,0,10000,660000,10,43,2
"7",0.1,6,46737,443,12,1623,26,0,0,120,16230,27,31,4
"8",0.019,6,45026,80,2,132,17,0,0,105.263157894737,6947.36842105263,51,0,9
"9",1.3,6,63394,443,4,1490,24,0,0,3.07692307692308,1146.15384615385,47,14,4
"10",0,17,45532,53,1,73,0,0,0,10000,730000,30,36,3
"11",0,6,443,49373,1,66,16,32,0,10000,660000,46,56,3
"12",0,6,39507,443,1,66,16,0,0,10000,660000,8,10,8
"13",0,6,443,55631,3,193,25,32,0,30000,1930000,38,13,6
"14",1.033,6,59751,443,2,108,17,0,0,1.93610842207164,104.549854791868,33,56,5
"15",0.315,6,38720,80,37,4142,26,0,0,117.460317460317,13149.2063492063,2,6,6
"16",0,6,55988,443,1,66,16,0,0,10000,660000,49,29,8
"17",0,17,5353,5353,1,85,0,0,0,10000,850000,44,9,7
"18",0,17,137,137,1,92,0,0,0,10000,920000,37,47,8
"19",0.092,6,443,39364,4,419,26,0,0,43.4782608695652,4554.34782608696,59,12,7
"20",0.977,6,51247,80,6,5194,24,0,0,6.14124872057318,5316.27430910952,24,24,0
"21",0,6,58910,443,1,66,16,0,0,10000,660000,58,22,8
"22",0.037,17,48257,53,2,156,0,0,0,54.0540540540541,4216.21621621622,57,54,3
"23",0,6,443,55932,1,66,16,0,0,10000,660000,21,29,1
"24",0,6,43606,443,1,66,16,0,0,10000,660000,15,17,5
"25",0.004,6,80,52116,2,1231,24,32,0,500,307750,16,46,2
"26",0,17,54568,53,1,74,0,0,0,10000,740000,39,46,7
"27",0,6,50199,80,1,66,16,0,0,10000,660000,20,13,5
"28",0.039,17,53,59515,2,223,0,0,0,51.2820512820513,5717.94871794872,46,9,1
"29",0,6,80,49896,1,66,16,0,0,10000,660000,12,17,4
"30",0.005,17,53,52134,2,332,0,0,0,400,66400,15,31,8
"31",0.133,6,34224,443,168,13500,26,0,0,1263.15789473684,101503.759398496,41,25,9
"32",0,6,39829,443,2,108,4,0,0,20000,1080000,50,52,1
"33",0,6,80,37842,1,66,16,32,0,10000,660000,29,28,5
"34",0,6,57109,80,1,66,16,0,0,10000,660000,3,1,9
"35",0,6,55181,80,1,55,16,0,0,10000,550000,35,37,3
"36",0,17,53,56023,2,214,0,0,0,20000,2140000,10,2,4
"37",0,6,61803,80,1,55,16,0,0,10000,550000,24,18,0
"38",0.041,6,37279,443,2,132,17,0,0,48.780487804878,3219.51219512195,15,10,5
