"","Duration","Proto","SrcPt","DstPt","Packets","Bytes","Flags","Tos","class","Packets_speed","Bytes_speed","Hour","Min","Sec","Day"
"1",0,6,50409,443,1,66,16,0,0,10000,660000,9,18,32,6
"2",0,6,60939,80,1,66,16,0,0,10000,660000,9,56,52,6
"3",0,6,80,51956,1,66,17,32,0,10000,660000,7,49,39,5
"4",0.538,6,51958,80,83,6378,26,0,0,154.275092936803,11855.0185873606,7,46,35,5
"5",0.006,17,53,43040,2,302,0,0,0,333.333333333333,50333.3333333333,11,24,23,5
"6",0,6,443,50260,1,66,16,0,0,10000,660000,9,19,47,6
"7",0.427,6,49470,443,59,4651,26,0,0,138.173302107728,10892.2716627635,10,28,12,5
"8",0.14,6,443,50123,4,374,26,32,0,28.5714285714286,2671.42857142857,13,16,20,5
"9",0,6,445,40289,1,108,24,0,0,10000,1080000,14,32,20,5
"10",0,6,80,37260,1,66,16,0,0,10000,660000,7,46,20,5
"11",0,6,57237,80,1,66,16,0,0,10000,660000,9,1,45,5
"12",0.068,6,443,57379,5,506,24,32,0,73.5294117647059,7441.17647058824,11,18,59,5
"13",0,6,80,49872,1,66,16,32,0,10000,660000,10,41,23,6
"14",0.711,6,54245,80,6,1118,27,0,0,8.43881856540084,1572.43319268636,15,30,21,5
"15",0,6,80,63227,1,66,16,32,0,10000,660000,11,52,45,5
"16",0,6,44274,443,1,66,16,0,0,10000,660000,6,13,3,6
"17",0,6,80,56260,1,66,16,32,0,10000,660000,9,46,54,5
"18",0,6,80,57728,1,66,16,32,0,10000,660000,14,38,31,5
"19",0,6,41778,443,1,66,16,0,0,10000,660000,9,33,4,5
"20",0,17,53685,53,1,89,0,0,0,10000,890000,12,46,19,5
"21",0,6,47153,443,1,54,16,0,0,10000,540000,16,16,53,5
"22",0.221,6,65045,443,2,154,24,0,0,9.04977375565611,696.83257918552,19,48,22,5
"23",0,6,61580,80,1,55,16,0,0,10000,550000,11,47,35,5
"24",0,6,41742,443,1,66,16,0,0,10000,660000,7,41,11,5
"25",0,6,443,48985,2,163,25,0,0,20000,1630000,15,36,36,5
"26",2.011,6,443,33639,34,110013,26,32,0,16.907011437096,54705.6190949776,13,12,24,5
"27",0,6,443,59535,1,66,16,32,0,10000,660000,6,13,4,6
"28",0,6,443,42907,1,66,16,32,0,10000,660000,11,18,58,5
"29",0.233,6,443,59127,3,229,25,32,0,12.8755364806867,982.832618025751,14,37,13,5
"30",0,6,80,51971,1,66,16,32,0,10000,660000,11,34,38,5
"31",0,6,59457,80,1,66,16,0,0,10000,660000,13,33,27,5
"32",0,6,51423,443,2,163,25,0,0,20000,1630000,11,47,3,5
"33",1.715,6,80,40069,6,3002,24,32,0,3.49854227405248,1750.43731778426,16,56,26,5
"34",0,6,80,38506,1,66,16,0,0,10000,660000,7,47,40,5
"35",0,6,443,53628,1,308,24,32,0,10000,3080000,17,30,54,5
"36",0.022,6,38606,80,2,140,18,0,0,90.9090909090909,6363.63636363636,11,5,33,5
"37",2.139,6,59392,443,9,2164,26,0,0,4.20757363253857,1011.68770453483,6,19,51,6
"38",0,6,54196,80,1,55,16,0,0,10000,550000,10,1,17,5
"39",0,6,50913,443,1,54,4,32,0,10000,540000,14,18,5,5
"40",0.022,6,60908,443,3,217,29,0,0,136.363636363636,9863.63636363636,9,47,59,5
"41",0,6,35402,80,1,66,16,0,0,10000,660000,18,19,27,5
"42",0.038,6,49200,443,4,341,25,0,0,105.263157894737,8973.68421052632,16,3,23,5
"43",0,6,42283,80,1,66,16,0,0,10000,660000,17,14,28,5
"44",0,6,80,53583,1,66,18,32,0,10000,660000,17,49,11,5
"45",0,6,53868,80,1,54,16,0,0,10000,540000,12,2,6,5
"46",0,17,53,46032,2,374,0,0,0,20000,3740000,18,1,35,5
"47",0.032,17,53,49541,2,362,0,0,0,62.5,11312.5,10,55,8,5
